id,gender,masterCategory,subCategory,articleType,slot,baseColour,season,year,usage,productDisplayName,look
532275006,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Madison highwaist 5 pkt,Everyday / Streetwear
761414001,Women,Garment Lower body,Shorts,Shorts,bottom,White,Spring,2019,Everyday / Streetwear,Varys brodery anglais shorts,Everyday / Streetwear
664254001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,DIV Victoria trouser.,Everyday / Streetwear
867044002,Women,Garment Lower body,Skirt,Skirt,bottom,Orange,Summer,2019,Everyday / Streetwear,Tiffanie,Everyday / Streetwear
625545002,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Fall,2019,Everyday / Streetwear,Mrs C Trs,Everyday / Streetwear
556137002,Women,Garment Lower body,Trousers,Trousers,bottom,Mole,Winter,2019,Everyday / Streetwear,Tove tregging.,Everyday / Streetwear
716952001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Adina Jsy cropped,Everyday / Streetwear
592063001,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,SOIL 5pocket/slim-light blu,Everyday / Streetwear
708382001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Jade Jazz trs,Everyday / Streetwear
727928001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Biker HW Slim pants,Everyday / Streetwear
871624004,Men,Garment Lower body,Trousers,Trousers,bottom,Khaki green,Spring,2019,Everyday / Streetwear,Ricky Tapered Linen,Everyday / Streetwear
787225001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Spring,2019,Everyday / Streetwear,Roulette jersey playsuit,Everyday / Streetwear
775960001,Women,Garment Lower body,Trousers,Trousers,bottom,Khaki green,Fall,2019,Everyday / Streetwear,Penelope utility trouser RW,Everyday / Streetwear
518647001,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Office / Formal,Brago,Office / Formal
700862001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Mitch trousers flare HW,Everyday / Streetwear
624892001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Kahlo,Everyday / Streetwear
413707022,Women,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Black,Fall,2019,Everyday / Streetwear,Fancy Leggings,Everyday / Streetwear
555426001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Diana jumpsuit,Everyday / Streetwear
620236002,Women,Garment Lower body,Skirt,Skirt,bottom,Beige,Fall,2019,Everyday / Streetwear,Posh skirt,Everyday / Streetwear
565292024,Men,Garment Lower body,Shorts,Shorts,bottom,White,Spring,2019,Everyday / Streetwear,Jeff o/d pullon,Everyday / Streetwear
618480006,Men,Garment Lower body,Trousers,Trousers,bottom,Khaki green,Fall,2019,Everyday / Streetwear,Dean Super Skinny Twill,Everyday / Streetwear
857574006,Men,Garment Lower body,Shorts,Shorts,bottom,Blue,Spring,2019,Everyday / Streetwear,Jones,Everyday / Streetwear
749615009,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Summer,2019,Office / Formal,Lia Slacks tie belt,Office / Formal
815902001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Granger HW,Everyday / Streetwear
931769003,Women,Garment Lower body,Trousers,Trousers,bottom,Grey,Summer,2019,Everyday / Streetwear,ED Madison Skinny HW,Everyday / Streetwear
870958002,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Summer,2019,Everyday / Streetwear,New Barton,Everyday / Streetwear
635838001,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Lilac Purple,Winter,2019,Sportswear / Gym,FARIN tights,Sportswear / Gym
695292003,Unisex,Garment Lower body,Trousers,Trousers,bottom,Blue,Summer,2019,Sportswear / Gym,Supreme Fancy OL,Sportswear / Gym
748934001,Women,Garment Lower body,Trousers,Trousers,bottom,Red,Spring,2019,Everyday / Streetwear,DIV Ally trouser,Everyday / Streetwear
710877001,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Heath slim chinos,Everyday / Streetwear
537851002,Women,Garment Lower body,Skirt,Skirt,bottom,Red,Fall,2019,Everyday / Streetwear,Mady check skirt,Everyday / Streetwear
658030029,Women,Garment Lower body,Trousers,Trousers,bottom,Grey,Fall,2019,Everyday / Streetwear,Push Up Jegging L.W,Everyday / Streetwear
633949001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Office / Formal,SPEED Pop trouser,Office / Formal
720473004,Women,Garment Lower body,Shorts,Shorts,bottom,Blue,Summer,2019,Everyday / Streetwear,Raspberry Shorts,Everyday / Streetwear
710876018,Men,Garment Lower body,Trousers,Trousers,bottom,Brown,Fall,2019,Everyday / Streetwear,Kennedy skinny stretch chinos,Everyday / Streetwear
889496002,Women,Garment Lower body,Skirt,Skirt,bottom,White,Summer,2019,Everyday / Streetwear,Frizz skirt,Everyday / Streetwear
620238006,Women,Garment Lower body,Trousers,Trousers,bottom,White,Fall,2019,Everyday / Streetwear,Nut solid trousers,Everyday / Streetwear
583732002,Women,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Grey,Fall,2019,Everyday / Streetwear,Active Fifi,Everyday / Streetwear
784053005,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Summer,2019,Everyday / Streetwear,KAT PINNAFORE,Everyday / Streetwear
848864001,Women,Garment Lower body,Shorts,Shorts,bottom,Black,Spring,2019,Everyday / Streetwear,MC Como shorts,Everyday / Streetwear
733803006,Women,Garment Lower body,Shorts,Shorts,bottom,Black,Summer,2019,Everyday / Streetwear,Racing shorts,Everyday / Streetwear
676512007,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,ED Luna 5pkt,Everyday / Streetwear
510675004,Women,Garment Lower body,Trousers,Trousers,bottom,White,Fall,2019,Everyday / Streetwear,Bali border trouser,Everyday / Streetwear
577964001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Bordeaux slit trouser,Everyday / Streetwear
663515004,Women,Garment Lower body,Trousers,Trousers,bottom,White,Fall,2019,Everyday / Streetwear,Doris Twill TRS,Everyday / Streetwear
832166002,Women,Garment Lower body,Skirt,Skirt,bottom,Beige,Summer,2019,Office / Formal,Gabi belted skirt,Office / Formal
766572003,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Office / Formal,Olaf slim buckle trs,Office / Formal
611020004,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,Slim Straight 5pkt,Everyday / Streetwear
651579001,Women,Garment Lower body,Trousers,Trousers,bottom,Red,Fall,2019,Everyday / Streetwear,Burke Cord Skinny 5-pkt RW,Everyday / Streetwear
817557002,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Summer,2019,Everyday / Streetwear,Pacific jumpsuit,Everyday / Streetwear
510074006,Women,Garment Lower body,Trousers,Trousers,bottom,Turquoise,Fall,2019,Everyday / Streetwear,Barza,Everyday / Streetwear
710862001,Women,Garment Lower body,Trousers,Trousers,bottom,Khaki green,Spring,2019,Everyday / Streetwear,Bell HW wide cropped,Everyday / Streetwear
838726004,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Spring,2019,Everyday / Streetwear,Jade HW Skinny Belt Denim TRS,Everyday / Streetwear
575456006,Men,Garment Lower body,Shorts,Shorts,bottom,Red,Summer,2019,Office / Formal,Grapefruit jaquard shorts,Office / Formal
750229002,Women,Garment Lower body,Skirt,Skirt,bottom,Brown,Summer,2019,Everyday / Streetwear,Zelina slip skirt,Everyday / Streetwear
918292003,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Pink,Summer,2019,Sportswear / Gym,STRONG HW seamless tights,Sportswear / Gym
575442001,Men,Garment Lower body,Trousers,Trousers,bottom,Turquoise,Fall,2019,Office / Formal,Nova slim jaquard trs,Office / Formal
412707025,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Everyday / Streetwear,Julia,Everyday / Streetwear
682189001,Women,Garment Lower body,Trousers,Trousers,bottom,Green,Fall,2019,Everyday / Streetwear,PE CINDY TROUSER,Everyday / Streetwear
660308009,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Spring,2019,Everyday / Streetwear,Gemma Woven TRS,Everyday / Streetwear
658304004,Women,Garment Lower body,Skirt,Skirt,bottom,White,Winter,2019,Everyday / Streetwear,Skirt Mini Aline,Everyday / Streetwear
638655001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Winter,2019,Office / Formal,Sasha jumpsuit,Office / Formal
657640002,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Fall,2019,Everyday / Streetwear,MC Fiona wide trs,Everyday / Streetwear
554450015,Women,Garment Lower body,Trousers,Trousers,bottom,Green,Fall,2019,Everyday / Streetwear,Julia Denim TRS,Everyday / Streetwear
654797002,Women,Garment Lower body,Shorts,Shorts,bottom,Black,Spring,2019,Everyday / Streetwear,DIV Kardashian denim shorts,Everyday / Streetwear
427159023,Men,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Skinny 5pkt Premiumprice 1,Everyday / Streetwear
747245001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Summer,2019,Everyday / Streetwear,Frida tencel trouser,Everyday / Streetwear
866731001,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Black,Summer,2019,Sportswear / Gym,LANA seamless HW tigths,Sportswear / Gym
707569001,Women,Garment Lower body,Skirt,Skirt,bottom,Blue,Summer,2019,Everyday / Streetwear,Skirt Pencil Stretch Slit,Everyday / Streetwear
687635004,Men,Garment Lower body,Shorts,Shorts,bottom,Grey,Summer,2019,Everyday / Streetwear,Sigge Shorts,Everyday / Streetwear
736102001,Unisex,Garment Lower body,Trousers,Trousers,bottom,Grey,Winter,2019,Sportswear / Gym,Jay tech pant,Sportswear / Gym
811500011,Unisex,Garment Lower body,Shorts,Shorts,bottom,Pink,Spring,2019,Sportswear / Gym,NORA RW shorts innerbriefs,Sportswear / Gym
740247002,Men,Garment Lower body,Shorts,Shorts,bottom,Blue,Summer,2019,Everyday / Streetwear,Jeff AOP,Everyday / Streetwear
804955003,Men,Garment Lower body,Trousers,Trousers,bottom,Beige,Fall,2019,Everyday / Streetwear,Aksel Skinny Legpocket,Everyday / Streetwear
606259001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,D Horse Jeans CNY,Everyday / Streetwear
775575002,Women,Garment Lower body,Skirt,Skirt,bottom,Orange,Spring,2019,Everyday / Streetwear,Sasha skirt,Everyday / Streetwear
700183001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Hedy cord trs,Everyday / Streetwear
597891009,Women,Garment Lower body,Shorts,Shorts,bottom,Red,Summer,2019,Everyday / Streetwear,Shorts R.W Kelly Lee,Everyday / Streetwear
501892003,Unisex,Garment Lower body,Leggings/Tights,Leggings/Tights,bottom,Blue,Fall,2019,Sportswear / Gym,SUPREME +,Sportswear / Gym
849214001,Men,Garment Lower body,Shorts,Shorts,bottom,Khaki green,Spring,2019,Everyday / Streetwear,Taylor (1),Everyday / Streetwear
827687001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Summer,2019,Everyday / Streetwear,Sunset HW Pull-on Woven Trs,Everyday / Streetwear
539878003,Women,Garment Lower body,Skirt,Skirt,bottom,Blue,Spring,2019,Everyday / Streetwear,Skirt Mini,Everyday / Streetwear
838689006,Men,Garment Lower body,Shorts,Shorts,bottom,Blue,Summer,2019,Everyday / Streetwear,PopOn Shorts,Everyday / Streetwear
751994007,Men,Garment Lower body,Trousers,Trousers,bottom,Black,Spring,2019,Everyday / Streetwear,Slim 5pkt Midprice,Everyday / Streetwear
854222002,Women,Garment Lower body,Trousers,Trousers,bottom,White,Summer,2019,Office / Formal,Romy playsuit,Office / Formal
831610001,Women,Garment Lower body,Skirt,Skirt,bottom,Green,Winter,2019,Office / Formal,Thumper skirt,Office / Formal
718370001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Spring,2019,Everyday / Streetwear,Kansas jumpsuit,Everyday / Streetwear
878740001,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Summer,2019,Everyday / Streetwear,Chablis skirt,Everyday / Streetwear
682068004,Women,Garment Lower body,Trousers,Trousers,bottom,White,Spring,2019,Everyday / Streetwear,Monica Ankle Cord TRS,Everyday / Streetwear
783969004,Women,Garment Lower body,Trousers,Trousers,bottom,Mole,Summer,2019,Everyday / Streetwear,Hayes,Everyday / Streetwear
887923001,Women,Garment Lower body,Skirt,Skirt,bottom,Blue,Summer,2019,Office / Formal,Pure vida skirt,Office / Formal
744577001,Unisex,Garment Lower body,Trousers,Trousers,bottom,Black,Summer,2019,Sportswear / Gym,NINNI cropped tights 2-pack,Sportswear / Gym
605658002,Women,Garment Lower body,Shorts,Shorts,bottom,White,Spring,2019,Everyday / Streetwear,Boyfriend shorts,Everyday / Streetwear
708680003,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Summer,2019,Everyday / Streetwear,LNY CALCIUM Jeans,Everyday / Streetwear
735428001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Spring,2019,Office / Formal,Ullis playsuit,Office / Formal
816915003,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Summer,2019,Everyday / Streetwear,Block joggers,Everyday / Streetwear
899329001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Summer,2019,Everyday / Streetwear,Snow petite chino RW,Everyday / Streetwear
674606025,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Fall,2019,Everyday / Streetwear,CHARLIE SKIRT,Everyday / Streetwear
726165001,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Spring,2019,Everyday / Streetwear,W PAMELA SKIRT EQ,Everyday / Streetwear
797892005,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Spring,2019,Everyday / Streetwear,ED Milk slaks,Everyday / Streetwear
691855020,Women,Garment Lower body,Skirt,Skirt,bottom,White,Spring,2019,Everyday / Streetwear,MAYA SKIRT S.0,Everyday / Streetwear
611730009,Men,Garment Lower body,Shorts,Shorts,bottom,Black,Spring,2019,Everyday / Streetwear,Jefferson,Everyday / Streetwear
844099002,Women,Garment Lower body,Skirt,Skirt,bottom,Black,Winter,2019,Everyday / Streetwear,SC ASLAN skirt,Everyday / Streetwear
532275004,Women,Garment Lower body,Trousers,Trousers,bottom,Green,Spring,2019,Everyday / Streetwear,Madison highwaist 5 pkt,Everyday / Streetwear
539723007,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Fall,2019,Everyday / Streetwear,Jade Denim TRS,Everyday / Streetwear
664319002,Women,Garment Lower body,Trousers,Trousers,bottom,White,Fall,2019,Everyday / Streetwear,Tiblisi paperwaist tapered,Everyday / Streetwear
722196002,Women,Garment Lower body,Trousers,Trousers,bottom,Beige,Spring,2019,Everyday / Streetwear,Athena HW tapered,Everyday / Streetwear
725324001,Women,Garment Lower body,Trousers,Trousers,bottom,Blue,Spring,2019,Everyday / Streetwear,Gemini HW wide trousers,Everyday / Streetwear
519914001,Women,Garment Lower body,Trousers,Trousers,bottom,Black,Winter,2019,Everyday / Streetwear,Kanta slacks,Everyday / Streetwear
550822003,Men,Garment Lower body,Trousers,Trousers,bottom,Beige,Fall,2019,Everyday / Streetwear,KOI Relaxed pants brushed wool,Everyday / Streetwear
746329001,Women,Garment Lower body,Skirt,Skirt,bottom,Blue,Spring,2019,Everyday / Streetwear,Andy skirt,Everyday / Streetwear
